"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.3215103149414","","89.532829284668","92.0394515991211","93.462158203125","91.866081237793","","92.134147644043","84.975227355957","85.7763671875","","","","","92.3918914794922","","","","","","","86.0003280639648","","","","",
"Africa Eastern and Southern","AFE","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","57.6329917907715","57.7228698730469","59.8228492736816","60.3149299621582","58.0923004150391","58.354850769043","59.5040702819824","58.037769317627","58.6031684875488","57.9000015258789","57.8458213806152","59.227481842041","60.7208518981934","60.5685005187988","62.11962890625","62.1675491333008","60.4008407592773","57.9756011962891","58.577320098877","58.4132995605469","58.7120513916016","60.7219581604004","59.6737785339355","57.6502304077148","58.8158798217773","55.9981384277344","55.0973014831543","54.6159896850586","54.9053802490234","56.9774894714355","60.6804084777832","60.7408103942871","57.0752182006836","59.7433013916016","58.318489074707","60.1562194824219","58.1150817871094","54.9217491149902","52.8290405273438","51.4936103820801","53.4906387329102","50.7815704345703","48.5579414367676","48.5413513183594","50.5316505432129","52.347541809082","55.2191200256348","55.9058418273926","57.2772903442383","59.760181427002","59.6701507568359","","","",
"Afghanistan","AFG","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","","","60.4643096923828","","","65.6698379516602","74.7572784423828","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","75.4911880493164","74.8612518310547","74.9176712036133","77.3182678222656","78.2315902709961","77.8170394897461","78.2133865356445","78.3517608642578","78.2920989990234","78.4746780395508","78.6334228515625","78.6081008911133","76.7362976074219","77.0362777709961","76.3579330444336","77.2538528442383","77.2239837646484","76.9357376098633","75.8170928955078","77.0615692138672","75.5690002441406","76.1709671020508","76.6674270629883","75.7728805541992","75.3037414550781","76.4205169677734","75.7090911865234","76.1706314086914","75.568229675293","76.1225280761719","75.5691223144531","71.6719589233398","70.4623718261719","68.223030090332","69.0651168823242","56.4870986938477","56.2489585876465","70.8564224243164","62.2711715698242","63.3629188537598","63.8034515380859","63.1059684753418","63.2340316772461","63.0690498352051","61.833568572998","59.4665107727051","60.6160583496094","61.8149604797363","62.5593490600586","62.8841781616211","62.2569885253906","61.3934516906738","","",
"Angola","AGO","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.2080898284912","36.5502700805664","","","","","","","","","","","","","","","",
"Albania","ALB","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.8291473388672","","","","","86.1145782470703","","","88.7250289916992","","","92.6314086914062","93.5049591064453","93.189697265625","95.0656661987305","97.8377990722656","98.4688186645508","97.6190872192383","98.3262481689453","95.1202163696289","88.6568603515625","92.7326736450195","91.6376495361328","89.4171981811523","88.8719787597656","91.8126983642578","91.174186706543","86.1792984008789","","",
"Andorra","AND","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.979621887207","","","68.5560989379883","","","","","","","","",
"Arab World","ARB","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","76.820182800293","77.6919326782227","78.3120422363281","79.3410873413086","80.4406890869141","80.6096267700195","81.185302734375","81.3598403930664","81.9694290161133","82.5141372680664","83.137321472168","83.0654067993164","85.3694229125977","85.7059326171875","86.4453201293945","86.824089050293","85.7342681884766","84.3563232421875","85.582893371582","86.1808395385742","85.1406936645508","84.9187469482422","85.2632217407227","84.8047485351562","84.474739074707","83.7416915893555","82.6711807250977","82.6110000610352","82.8797378540039","82.8626098632812","82.5063781738281","82.4826736450195","82.5873870849609","80.6037521362305","80.3376007080078","81.4601821899414","82.2344512939453","82.7202987670898","84.3434829711914","84.4856491088867","84.3080596923828","75.8192596435547","75.736930847168","78.2010269165039","80.1220397949219","81.4383163452148","82.5642395019531","82.8947296142578","83.5759963989258","83.8882064819336","85.3911285400391","","","",
"United Arab Emirates","ARE","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","","","","","","","91.3184585571289","86.4260635375977","","","","95.0990219116211","85.597297668457","76.4754486083984","83.5926818847656","78.2711791992188","85.0537872314453","92.9640121459961","95.0887680053711","93.3671417236328","74.1403427124023","83.6026077270508","98.2267913818359","94.9088592529297","76.3396301269531","79.3413467407227","88.4985809326172","96.3171768188477","89.8582992553711","93.6183013916016","93.6249771118164","","93.3530502319336","94.9103012084961","97.0696411132812","96.6442337036133","","","","84.5492935180664","","90.8167037963867","","","","","","","","","","","","",
"Argentina","ARG","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","60.5283012390137","","","","58.8943901062012","63.4564094543457","","","","","","","","","","","","","","","","","","","","","","","87.5820388793945","97.4088363647461","91.1738510131836","90.6227111816406","82.2861709594727","97.3456573486328","87.9300765991211","95.8808212280273","95.2816467285156","98.7339401245117","94.6034774780273","96.7308197021484","93.1193313598633","97.4299697875977","94.9498825073242","95.8035125732422","95.034538269043","97.0606994628906","93.8259963989258","93.9593963623047","93.8678131103516","93.3720092773438","96.2967300415039","96.0056381225586","","","",
